"geo","time","Väestöllinen huoltosuhde, %","Terveyspalvelut","Väkiluku","Työikäisten määrä","Sosiaalipalvelut","Kela-korvaukset","Eräät sote-tulonsiirrot","Kunnallisvero","SAVA","Pääomaverot"
"HUS - Uusimaa","2015","33.08660696","4933","1614339","534130","3180","1544","1197","11876","1337","1708"
"HUS - Uusimaa","2020","32.5896589","5193","1692721","551652","3359","1594","1254","12121","1356","1779"
"HUS - Uusimaa","2025","32.32779675","5486","1762641","569823","3590","1640","1303","12251","1364","1825"
"HUS - Uusimaa","2030","31.94310184","5786","1821711","581911","3825","1688","1363","12434","1378","1893"
"HUS - Uusimaa","2035","31.72864789","6062","1870190","593386","4087","1725","1407","12563","1388","1963"
"HUS - Uusimaa","2040","31.71986051","6198","1909463","605679","4207","1742","1424","12604","1390","2015"
"Varsinais-Suomi","2015","31.53476716","5736","477232","150494","3801","1839","1716","10178","1092","1507"
"Varsinais-Suomi","2020","30.76570683","6085","484598","149090","4008","1917","1874","10431","1111","1563"
"Varsinais-Suomi","2025","30.30428828","6490","491409","148918","4304","1986","1996","10553","1118","1597"
"Varsinais-Suomi","2030","29.88246322","6867","497121","148552","4591","2046","2115","10667","1127","1629"
"Varsinais-Suomi","2035","29.65561721","7225","500809","148518","4937","2086","2201","10739","1133","1657"
"Varsinais-Suomi","2040","29.74111861","7348","502624","149486","5074","2093","2203","10711","1129","1682"
"Satakunta","2015","30.83162847","6163","223381","68872","4360","1891","2704","10042","1070","1169"
"Satakunta","2020","29.69637796","6637","221229","65697","4705","1996","3003","10334","1093","1222"
"Satakunta","2025","29.20979884","7107","219577","64138","5139","2069","3199","10402","1095","1240"
"Satakunta","2030","28.76736215","7500","217931","62693","5506","2130","3366","10481","1101","1260"
"Satakunta","2035","28.66592909","7822","216023","61925","5924","2155","3435","10488","1103","1268"
"Satakunta","2040","29.03821519","7819","213894","62111","6004","2130","3340","10354","1091","1272"
"Kanta-Häme","2015","31.16960064","5166","230457","71833","4241","1627","1569","8132","853","875"
"Kanta-Häme","2020","30.19724457","5499","233070","70381","4489","1712","1737","8343","866","912"
"Kanta-Häme","2025","29.70449093","5855","235272","69886","4787","1780","1872","8440","871","940"
"Kanta-Häme","2030","29.07395552","6244","235765","68546","5116","1857","2022","8630","886","982"
"Kanta-Häme","2035","28.68511325","6613","235942","67680","5513","1911","2123","8752","897","1012"
"Kanta-Häme","2040","28.76617631","6741","235987","67884","5670","1919","2130","8732","894","1031"
"Pirkanmaa","2015","32.02955501","5666","527288","168888","3524","1768","1733","10256","1077","1304"
"Pirkanmaa","2020","31.22880096","5997","541593","169133","3735","1840","1867","10501","1096","1353"
"Pirkanmaa","2025","30.79479938","6368","554165","170654","4004","1904","1971","10616","1103","1388"
"Pirkanmaa","2030","30.4402743","6691","564489","171832","4245","1958","2069","10717","1111","1418"
"Pirkanmaa","2035","30.25777772","7009","572276","173158","4552","1996","2133","10777","1116","1443"
"Pirkanmaa","2040","30.32936681","7121","577836","175254","4672","2004","2137","10758","1114","1458"
"Päijät-Häme","2015","30.54813117","5991","212887","65033","3863","1793","2892","10243","1056","1271"
"Päijät-Häme","2020","29.39930355","6535","213369","62729","4193","1906","3261","10568","1079","1337"
"Päijät-Häme","2025","28.78690884","7094","214007","61606","4577","1994","3521","10709","1087","1376"
"Päijät-Häme","2030","28.20046281","7594","214344","60446","4934","2070","3755","10873","1099","1420"
"Päijät-Häme","2035","27.93807211","8016","214120","59821","5319","2112","3886","10943","1105","1446"
"Päijät-Häme","2040","28.08120363","8120","213488","59950","5440","2108","3850","10878","1099","1462"
"Kymenlaakso","2015","31.15826753","6010","172240","53667","4672","1921","3459","10570","1080","1000"
"Kymenlaakso","2020","29.98585573","6518","169680","50880","5055","2037","3872","10920","1105","1050"
"Kymenlaakso","2025","29.05959426","7115","167449","48660","5574","2149","4239","11182","1123","1088"
"Kymenlaakso","2030","28.31771687","7645","165317","46814","6068","2241","4552","11396","1140","1117"
"Kymenlaakso","2035","28.08309923","8070","163034","45785","6587","2283","4703","11437","1143","1130"
"Kymenlaakso","2040","28.30315559","8154","160604","45456","6746","2270","4643","11323","1133","1138"
"Etelä-Karjala","2015","31.69730882","6217","131355","41636","3925","1774","3921","10234","1052","1133"
"Etelä-Karjala","2020","30.45235492","6735","129898","39557","4241","1877","4398","10578","1076","1197"
"Etelä-Karjala","2025","29.6435782","7282","128780","38175","4605","1967","4754","10755","1088","1237"
"Etelä-Karjala","2030","29.08525651","7727","127697","37141","4914","2033","5039","10878","1098","1272"
"Etelä-Karjala","2035","28.93010166","8097","126498","36596","5251","2064","5155","10889","1099","1295"
"Etelä-Karjala","2040","29.19619955","8165","125143","36537","5357","2050","5066","10773","1089","1302"
"Etelä-Savo","2015","30.53497942","6817","103275","31535","4478","2143","5838","9441","989","1633"
"Etelä-Savo","2020","28.91295079","7543","100851","29159","4938","2313","6770","9877","1021","1756"
"Etelä-Savo","2025","27.6986484","8357","98994","27420","5520","2473","7589","10183","1043","1844"
