Region,Time,Healthcare cost,Dependency ratio,Working population,Population size,Social care cost,Kela compensation,Social welfare transfers,Municipality tax,Health insurance payments,Capital tax
HUS - Uusimaa,2015,4933,33.08660696,534130,1614339,3180,1544,1197,11876,1337,1708
HUS - Uusimaa,2020,5193,32.5896589,551652,1692721,3359,1594,1254,12121,1356,1779
HUS - Uusimaa,2025,5486,32.32779675,569823,1762641,3590,1640,1303,12251,1364,1825
HUS - Uusimaa,2030,5786,31.94310184,581911,1821711,3825,1688,1363,12434,1378,1893
HUS - Uusimaa,2035,6062,31.72864789,593386,1870190,4087,1725,1407,12563,1388,1963
HUS - Uusimaa,2040,6198,31.71986051,605679,1909463,4207,1742,1424,12604,1390,2015
Varsinais-Suomi,2015,5736,31.53476716,150494,477232,3801,1839,1716,10178,1092,1507
Varsinais-Suomi,2020,6085,30.76570683,149090,484598,4008,1917,1874,10431,1111,1563
Varsinais-Suomi,2025,6490,30.30428828,148918,491409,4304,1986,1996,10553,1118,1597
Varsinais-Suomi,2030,6867,29.88246322,148552,497121,4591,2046,2115,10667,1127,1629
Varsinais-Suomi,2035,7225,29.65561721,148518,500809,4937,2086,2201,10739,1133,1657
Varsinais-Suomi,2040,7348,29.74111861,149486,502624,5074,2093,2203,10711,1129,1682
Satakunta,2015,6163,30.83162847,68872,223381,4360,1891,2704,10042,1070,1169
Satakunta,2020,6637,29.69637796,65697,221229,4705,1996,3003,10334,1093,1222
Satakunta,2025,7107,29.20979884,64138,219577,5139,2069,3199,10402,1095,1240
Satakunta,2030,7500,28.76736215,62693,217931,5506,2130,3366,10481,1101,1260
Satakunta,2035,7822,28.66592909,61925,216023,5924,2155,3435,10488,1103,1268
Satakunta,2040,7819,29.03821519,62111,213894,6004,2130,3340,10354,1091,1272
Kanta-Häme,2015,5166,31.16960064,71833,230457,4241,1627,1569,8132,853,875
Kanta-Häme,2020,5499,30.19724457,70381,233070,4489,1712,1737,8343,866,912
Kanta-Häme,2025,5855,29.70449093,69886,235272,4787,1780,1872,8440,871,940
Kanta-Häme,2030,6244,29.07395552,68546,235765,5116,1857,2022,8630,886,982
Kanta-Häme,2035,6613,28.68511325,67680,235942,5513,1911,2123,8752,897,1012
Kanta-Häme,2040,6741,28.76617631,67884,235987,5670,1919,2130,8732,894,1031
Pirkanmaa,2015,5666,32.02955501,168888,527288,3524,1768,1733,10256,1077,1304
Pirkanmaa,2020,5997,31.22880096,169133,541593,3735,1840,1867,10501,1096,1353
Pirkanmaa,2025,6368,30.79479938,170654,554165,4004,1904,1971,10616,1103,1388
Pirkanmaa,2030,6691,30.4402743,171832,564489,4245,1958,2069,10717,1111,1418
Pirkanmaa,2035,7009,30.25777772,173158,572276,4552,1996,2133,10777,1116,1443
Pirkanmaa,2040,7121,30.32936681,175254,577836,4672,2004,2137,10758,1114,1458
Päijät-Häme,2015,5991,30.54813117,65033,212887,3863,1793,2892,10243,1056,1271
Päijät-Häme,2020,6535,29.39930355,62729,213369,4193,1906,3261,10568,1079,1337
Päijät-Häme,2025,7094,28.78690884,61606,214007,4577,1994,3521,10709,1087,1376
Päijät-Häme,2030,7594,28.20046281,60446,214344,4934,2070,3755,10873,1099,1420
Päijät-Häme,2035,8016,27.93807211,59821,214120,5319,2112,3886,10943,1105,1446
