geo,time,Työikäisten määrä,Väkiluku,Sosiaalipalvelut,Terveyspalvelut,Kela-korvaukset,Eräät sote-tulonsiirrot,"Väestöllinen huoltosuhde, %",Kunnallisvero,SAVA,Pääomaverot
HUS - Uusimaa,2015,534130,1614339,3180,4933,1544,1197,33.08660696,11876,1337,1708
HUS - Uusimaa,2020,551652,1692721,3359,5193,1594,1254,32.5896589,12121,1356,1779
HUS - Uusimaa,2025,569823,1762641,3590,5486,1640,1303,32.32779675,12251,1364,1825
HUS - Uusimaa,2030,581911,1821711,3825,5786,1688,1363,31.94310184,12434,1378,1893
HUS - Uusimaa,2035,593386,1870190,4087,6062,1725,1407,31.72864789,12563,1388,1963
HUS - Uusimaa,2040,605679,1909463,4207,6198,1742,1424,31.71986051,12604,1390,2015
Varsinais-Suomi,2015,150494,477232,3801,5736,1839,1716,31.53476716,10178,1092,1507
Varsinais-Suomi,2020,149090,484598,4008,6085,1917,1874,30.76570683,10431,1111,1563
Varsinais-Suomi,2025,148918,491409,4304,6490,1986,1996,30.30428828,10553,1118,1597
Varsinais-Suomi,2030,148552,497121,4591,6867,2046,2115,29.88246322,10667,1127,1629
Varsinais-Suomi,2035,148518,500809,4937,7225,2086,2201,29.65561721,10739,1133,1657
Varsinais-Suomi,2040,149486,502624,5074,7348,2093,2203,29.74111861,10711,1129,1682
Satakunta,2015,68872,223381,4360,6163,1891,2704,30.83162847,10042,1070,1169
Satakunta,2020,65697,221229,4705,6637,1996,3003,29.69637796,10334,1093,1222
Satakunta,2025,64138,219577,5139,7107,2069,3199,29.20979884,10402,1095,1240
Satakunta,2030,62693,217931,5506,7500,2130,3366,28.76736215,10481,1101,1260
Satakunta,2035,61925,216023,5924,7822,2155,3435,28.66592909,10488,1103,1268
Satakunta,2040,62111,213894,6004,7819,2130,3340,29.03821519,10354,1091,1272
Kanta-Häme,2015,71833,230457,4241,5166,1627,1569,31.16960064,8132,853,875
Kanta-Häme,2020,70381,233070,4489,5499,1712,1737,30.19724457,8343,866,912
Kanta-Häme,2025,69886,235272,4787,5855,1780,1872,29.70449093,8440,871,940
Kanta-Häme,2030,68546,235765,5116,6244,1857,2022,29.07395552,8630,886,982
Kanta-Häme,2035,67680,235942,5513,6613,1911,2123,28.68511325,8752,897,1012
Kanta-Häme,2040,67884,235987,5670,6741,1919,2130,28.76617631,8732,894,1031
Pirkanmaa,2015,168888,527288,3524,5666,1768,1733,32.02955501,10256,1077,1304
Pirkanmaa,2020,169133,541593,3735,5997,1840,1867,31.22880096,10501,1096,1353
Pirkanmaa,2025,170654,554165,4004,6368,1904,1971,30.79479938,10616,1103,1388
