time;geo;gpd_per_cap;lex;pop;geo.name;geo.region
2015;HUS - Uusimaa;1698398954;2634774824;824933795.3;HUS - Uusimaa;region
2020;HUS - Uusimaa;1853238258;2864731134;879604971.8;HUS - Uusimaa;region
2025;HUS - Uusimaa;2045404210;3125923806;934364968.9;HUS - Uusimaa;region
2030;HUS - Uusimaa;2225580941;3366953576;982533190.6;HUS - Uusimaa;region
2035;HUS - Uusimaa;2424875055;3596851862;1023661572;HUS - Uusimaa;region
2040;HUS - Uusimaa;2548215291;3754095324;1054925236;HUS - Uusimaa;region
2015;Varsinais-Suomi;571961093.6;863279936.6;276725897.4;Varsinais-Suomi;region
2020;Varsinais-Suomi;597616075.9;907154434.1;285832624.5;Varsinais-Suomi;region
2025;Varsinais-Suomi;640876443.2;966457174.3;295782304.6;Varsinais-Suomi;region
2030;Varsinais-Suomi;681989476.1;1020122755;303889115.8;Varsinais-Suomi;region
2035;Varsinais-Suomi;733246448.1;1073054261;309865296.4;Varsinais-Suomi;region
2040;Varsinais-Suomi;758463177.1;1098445796;312810989.2;Varsinais-Suomi;region
2015;Satakunta;300253309;424486860.3;130270663.8;Satakunta;region
2020;Satakunta;309102309.4;436061034.6;131133504.9;Satakunta;region
2025;Satakunta;329592090.7;455801012.6;132699292.9;Satakunta;region
2030;Satakunta;345167062.3;470199181.8;133507279.1;Satakunta;region
2035;Satakunta;366822158.1;484386128.7;133477441.2;Satakunta;region
2040;Satakunta;372938676.9;485645549.6;132304657.9;Satakunta;region
2015;Kanta-Häme;304671699.4;371084892.7;116895561.4;Kanta-Häme;region
2020;Kanta-Häme;315926851.2;386992405.4;120469111.9;Kanta-Häme;region
2025;Kanta-Häme;334544875.7;409193153.6;124403747.8;Kanta-Häme;region
2030;Kanta-Häme;350674031.6;427986111.6;127283726.4;Kanta-Häme;region
2035;Kanta-Häme;373127035.9;447595745.6;129326998.6;Kanta-Häme;region
2040;Kanta-Häme;384890383;457619859.5;130266437.1;Kanta-Häme;region
2015;Pirkanmaa;595182035.6;956871057.5;298549873.4;Pirkanmaa;region
2020;Pirkanmaa;631792254.7;1014366506;311205532.1;Pirkanmaa;region
2025;Pirkanmaa;683345639.2;1086663196;324997934.7;Pirkanmaa;region
2030;Pirkanmaa;729407924.1;1149766815;336505571.6;Pirkanmaa;region
2035;Pirkanmaa;788271549.6;1213683101;345630356.8;Pirkanmaa;region
2040;Pirkanmaa;818841547.3;1248052614;351173317.9;Pirkanmaa;region
2015;Päijät-Häme;251235624.2;389640565;116585452;Päijät-Häme;region
2020;Päijät-Häme;263000251.5;409917336.1;119540768;Päijät-Häme;region
2025;Päijät-Häme;281941383.7;437012924.6;122817034.9;Päijät-Häme;region
2030;Päijät-Häme;298265668.8;459024768.3;125122274.8;Päijät-Häme;region
2035;Päijät-Häme;318189430.8;479525523.6;126328200.1;Päijät-Häme;region
2040;Päijät-Häme;326108160.7;486792887.7;126399025.4;Päijät-Häme;region
2015;Kymenlaakso;250726403.8;322553917.1;103085675.6;Kymenlaakso;region
2020;Kymenlaakso;257177634.4;331639810.1;103642939.1;Kymenlaakso;region
2025;Kymenlaakso;271227914.1;346203025.8;104586072.9;Kymenlaakso;region
2030;Kymenlaakso;284068865.8;357894045.7;104911470.1;Kymenlaakso;region
2035;Kymenlaakso;301564493.7;369485863.1;104504834.9;Kymenlaakso;region
2040;Kymenlaakso;306655404.5;370664248.2;103189973.9;Kymenlaakso;region
2015;Etelä-Karjala;163433686.3;258844315.3;73866975.59;Etelä-Karjala;region
2020;Etelä-Karjala;167774081.2;266404531.1;74247173.8;Etelä-Karjala;region
2025;Etelä-Karjala;175801657.3;277987407.3;75080844.81;Etelä-Karjala;region
2030;Etelä-Karjala;182513242.9;286984211.8;75520755.64;Etelä-Karjala;region
